state,total_cases,number_injured,number_killed,total_casualty,people_involved,spv,upd,tbt,mdv,bfl,ovl,dot,wot
Plateau,184,39,223,627,26,0,2,9,5,1,1,10,4
Rivers,54,6,60,165,7,0,3,1,2,0,0,2,5
Sokoto,126,68,194,248,20,0,4,0,1,0,0,2,1
Taraba,162,9,171,294,25,0,3,0,0,0,0,1,24
Yobe,192,35,227,271,27,0,6,2,0,1,0,1,0
Zamfara,78,13,91,175,19,0,1,0,0,0,0,4,3
TOTAL,9146,1538,10684,20781,2418,9,217,110,144,26,8,286,294
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,101,9,110,226,22,0,6,0,3,0,0,2,3
Adamawa,72,3,75,141,21,0,1,0,2,1,0,5,9
Akwa Ibom,55,9,64,126,20,0,2,0,0,0,0,3,1
Anambra,103,20,123,301,19,0,1,1,12,1,0,4,0
Bauchi,436,94,530,855,98,0,14,2,1,3,1,10,15
Bayelsa,16,1,17,73,15,0,0,0,0,0,0,0,0
Benue,227,16,243,404,49,0,3,0,6,0,0,8,1
Borno,154,22,176,222,10,0,2,0,0,0,0,3,0
Cross River,48,17,65,140,26,0,0,1,2,0,0,4,0
Delta,137,25,162,255,13,0,7,1,2,1,1,1,1
Ebonyi,85,17,102,313,34,0,6,1,1,0,0,6,1
Edo,133,28,161,487,44,0,4,0,11,1,0,4,3
Ekiti,46,16,62,100,38,0,0,0,0,0,0,0,2
Enugu,177,18,195,400,17,0,4,1,9,1,0,0,0
FCT,784,109,893,2399,369,5,11,5,26,12,7,14,31
Gombe,165,9,174,298,19,1,2,2,2,6,0,0,21
Imo,45,4,49,145,3,0,1,0,1,0,0,0,4
Jigawa,503,46,549,842,201,0,9,0,0,9,0,7,1
Kaduna,744,164,908,1462,119,0,9,4,2,2,1,27,19
Kano,330,57,387,631,96,0,1,0,2,1,2,2,5
Katsina,221,77,298,417,43,0,6,2,1,0,0,0,2
Kebbi,154,39,193,259,45,0,0,0,0,1,0,2,1
Kogi,305,36,341,838,99,0,15,3,9,0,0,14,0
Kwara,267,30,297,643,96,0,5,4,2,0,2,7,2
Lagos,201,57,258,699,79,0,5,14,8,0,0,8,3
Nasarawa,626,78,704,1210,129,0,4,2,3,3,0,19,45
Niger,308,41,349,546,120,0,3,1,5,1,1,9,4
Ogun,718,102,820,1817,313,2,28,13,17,0,0,29,7
Ondo,356,59,415,1034,103,0,7,3,4,0,0,10,13
Osun,327,30,357,823,78,0,10,3,6,1,2,5,5
Oyo,514,84,598,1243,105,0,19,6,4,2,3,15,19
Plateau,227,32,259,552,38,0,5,8,10,0,0,4,9
Rivers,42,9,51,204,8,0,1,0,8,0,0,3,3
Sokoto,146,38,184,256,31,0,3,1,1,0,0,6,15
Taraba,217,8,225,435,18,0,1,0,0,4,1,4,27
Yobe,191,60,251,365,26,0,1,0,1,0,0,2,2
Zamfara,77,12,89,157,22,0,1,1,1,0,0,6,2
TOTAL,9258,1476,10734,21318,2586,8,197,79,162,50,21,243,276
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,89,7,96,209,12,0,6,1,7,0,0,0,1
Adamawa,117,17,134,213,22,1,2,0,0,0,0,0,2
Akwa Ibom,75,15,90,164,16,0,2,0,1,0,0,0,3
Anambra,121,14,135,344,21,1,2,5,12,0,0,0,0
Bauchi,523,93,616,888,72,0,4,2,2,1,2,9,11
Bayelsa,17,1,18,27,4,0,1,0,0,0,0,0,0
Benue,225,24,249,395,52,0,7,1,3,0,0,0,0
Borno,207,66,273,375,5,0,3,3,0,0,0,0,3
Cross River,81,21,102,257,27,0,0,1,6,0,0,2,1
Delta,174,30,204,306,27,0,4,0,5,2,0,0,0
Ebonyi,118,19,137,368,16,0,11,2,1,0,0,1,0
Edo,142,23,165,487,10,0,5,5,18,2,0,1,0
Ekiti,40,9,49,101,11,0,1,2,0,1,0,0,1
Enugu,157,19,176,481,33,0,2,2,17,1,0,0,1
FCT,791,127,918,2103,120,5,18,9,17,5,5,5,41
Gombe,363,47,410,656,33,0,3,7,1,3,0,0,18
Imo,97,21,118,235,6,0,1,0,3,0,0,0,7
Jigawa,624,44,668,1043,128,1,7,1,0,13,2,5,5
Kaduna,810,142,952,1728,133,0,13,4,3,0,1,4,10
Kano,411,94,505,781,66,0,6,0,0,4,0,6,11
Katsina,169,32,201,278,21,0,3,0,0,1,0,2,3
Kebbi,186,43,229,391,13,0,0,0,0,1,0,0,1
Kogi,413,81,494,1287,82,1,6,5,16,2,0,0,8
Kwara,252,54,306,632,49,1,12,7,6,0,1,0,5
Lagos,268,42,310,808,92,0,6,11,25,0,0,0,6
Nasarawa,580,57,637,1216,105,1,10,29,10,1,0,0,27
Niger,553,96,649,1075,90,0,4,2,10,1,0,1,6
Ogun,663,77,740,1737,183,0,19,10,9,0,0,0,15
Ondo,247,33,280,593,81,0,4,2,3,1,0,0,16
Osun,319,39,358,795,64,0,14,5,6,2,0,0,3
Oyo,423,84,507,984,115,1,8,7,4,1,0,0,25
Plateau,254,29,283,522,27,0,2,20,2,0,0,2,4
Rivers,43,16,59,156,6,0,2,1,4,0,0,1,4
Sokoto,148,26,174,259,19,0,0,0,2,1,0,1,6
Taraba,192,8,200,361,4,0,2,1,1,1,0,0,25
Yobe,237,35,272,423,25,3,6,6,1,2,0,0,1
Zamfara,103,23,126,174,13,1,2,0,0,1,1,2,0
TOTAL,10232,1608,11840,22852,1803,16,198,151,195,47,12,42,270
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,45,16,61,81,7,0,3,0,0,1,0,0,2
Adamawa,152,20,172,272,35,0,0,1,0,1,0,4,5
Akwa Ibom,16,3,19,32,4,0,1,0,0,0,0,1,2
Anambra,76,3,79,161,8,0,0,3,1,0,0,2,0
Bauchi,473,139,612,826,79,0,12,3,2,2,1,24,5
Bayelsa,11,1,12,28,8,0,1,0,0,1,0,0,0
Benue,84,4,88,226,19,0,1,2,1,0,0,3,1
Borno,76,9,85,115,6,0,7,1,0,0,0,0,2
Cross River,35,7,42,76,12,0,0,0,2,0,0,0,0
Delta,87,34,121,174,15,0,7,0,0,1,0,2,0
Ebonyi,131,14,145,366,28,0,2,2,0,1,0,2,1
Edo,183,41,224,426,25,0,6,11,9,2,0,4,3
Ekiti,48,2,50,120,39,0,1,2,4,0,0,0,1
Enugu,99,21,120,237,28,0,0,0,7,0,0,1,3
FCT,667,100,767,1663,300,0,21,6,11,2,3,3,33
Gombe,240,26,266,394,47,2,0,1,0,0,0,0,14
Imo,58,11,69,123,8,0,0,0,2,0,0,2,0
Jigawa,400,26,426,717,185,0,6,0,0,3,0,7,6
Kaduna,782,139,921,1730,109,0,11,3,0,0,1,17,26
Kano,309,69,378,587,53,0,5,1,0,1,0,3,6
Katsina,143,29,172,206,18,0,1,0,0,1,0,1,1
Kebbi,128,62,190,252,25,0,0,0,0,1,0,1,2
Kogi,313,64,377,718,73,1,12,7,9,0,0,13,2
Kwara,328,54,382,663,88,0,11,8,5,0,0,16,1
Lagos,230,40,270,613,66,0,3,8,12,0,0,9,1
Nasarawa,315,23,338,565,73,0,4,5,4,4,0,19,16
Niger,407,94,501,895,103,0,5,1,7,3,2,13,6
Ogun,707,113,820,1742,320,0,14,14,16,3,0,18,4
Ondo,239,43,282,618,70,1,12,0,4,0,0,1,12
Osun,255,13,268,559,53,0,11,2,0,0,4,2,1
Oyo,247,53,300,591,84,0,8,5,9,2,3,6,12
Plateau,420,55,475,824,42,0,1,18,11,2,1,13,18
Rivers,37,9,46,80,16,0,0,0,1,0,0,0,1
Sokoto,69,40,109,148,14,0,1,0,0,0,0,0,3
Taraba,201,24,225,397,9,0,3,0,0,0,0,3,14
Yobe,215,26,241,338,36,0,6,5,0,1,0,3,1
Zamfara,113,14,127,189,14,0,0,0,0,3,0,4,0
TOTAL,8339,1441,9780,17752,2119,4,176,109,117,35,15,197,205
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,12,22,3,25,5,0,7,2,4,0,0,0,0
Adamawa,57,175,5,180,21,0,1,1,2,0,0,2,4
Akwa Ibom,17,32,6,38,9,0,0,0,0,0,0,0,0
Anambra,34,60,12,72,14,1,4,0,10,0,0,10,0
Bauchi,100,399,84,483,36,0,9,4,0,1,0,2,1
Bayelsa,7,30,8,38,6,0,0,0,0,0,0,1,0
Benue,57,156,29,185,44,0,3,1,1,0,0,2,1
Borno,54,164,13,177,8,0,2,0,0,2,0,6,0
Cross River,27,85,22,107,10,0,1,0,7,0,0,2,0
Delta,28,84,17,101,17,0,5,0,3,0,0,3,0
